"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to Credit","access to credit","1= yes, 0= no","binomial logistic regression","logit","coefficient value","0.43099999999999999",0.431,"standard error","1.2829999999999999",1.283,"nd",NA,"nd",NA,"nd","15",15,80,80,"Ghana","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to Credit","access to credit","1= yes, 0= no","probit estimation","probit","coefficient value","0.23899999999999999",0.239,"standard error","0.73499999999999999",0.735,"nd",NA,"nd",NA,"nd","15",15,80,80,"Ghana","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"78",1,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Loan access","access to credit","1= yes, 0= no","Logistic model regression","logit","coefficient value","-1.0620000000000001",-1.062,"standard error","0.84799999999999998",0.848,"nd",NA,"0.21",0.21,"nd","18",18,144,144,"Tanzania","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Use of External Finance","access to credit","1= yes, 0= no","Logistic regression model","logit","coefficient value","-0.219",-0.219,"standard error","0.29799999999999999",0.298,"nd",NA,"nd",NA,"nd","9",9,320,320,"Kenya","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"104",1,"nd","agroforestry","unspecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to credit","access to credit","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","0.40699999999999997",0.407,"standard error","0.36099999999999999",0.361,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"104",2,"nd","crop rotation","cover crops","maintain soil moisture",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to credit","access to credit","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","-22.041",-22.041,"standard error","1",1,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to credit","access to credit","1= yes, 0= no","logistic regression","logit","coefficient value","-0.95199999999999996",-0.952,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to credit","access to credit","1= yes, 0= no","logistic regression","logit","coefficient value","0.13",0.13,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Credit","access to credit","1= yes, 0= no","Probit double-hurdle model","probit","coefficient value","0.66300000000000003",0.663,"robust standard error","0.24399999999999999",0.244,"nd",NA,"0.01",0.01,"nd","24",24,313,313,"Ethiopia","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Credit","access to credit","1= yes, 0= no","Truncated double-hurdle model","truncated","coefficient value","-9.8000000000000004E-2",-0.098,"robust standard error","0.14299999999999999",0.143,"nd",NA,"nd",NA,"nd","24",24,313,313,"Ethiopia","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"337",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Credit access","access to credit","1= yes, 0= no","logit regressions","logit","coefficient value","0.78500000000000003",0.785,"standard error","0.222",0.222,"nd",NA,"0.01",0.01,"nd","13",13,3155,3155,"Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
"353",1,"nd","intercropping","unespecified",NA,NA,"species richness","partial correlation","Access to credit","access to credit","1= yes, 0= no","poisson regression model","other","coefficient value","0.79",0.79,"t value","0.96",0.96,"0.96",0.96,"nd",NA,"nd","8",8,302,302,"Nigeria","1= yes, 0= no","access to credit","access to credit (1= yes, 0= no)"
