"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"78",1,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Training","access to agricultural training","1= yes, 0= no","none","Logistic model regression","logit","coefficient value","-0.122",-0.122,"standard error","0.59199999999999997",0.592,"nd",NA,"0.83699999999999997",0.837,"nd","18",18,144,144,"Tanzania","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"200",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Training on Conservation agriculture","access to agricultural training","1= yes, 0= no","none","binary logistic regression model","logit","coefficient value","0.34",0.34,"p value","0.68",0.68,"nd",NA,"0.68",0.68,"nd","22",22,135,135,"South Africa","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"225",1,"Coffee","agroforestry","shaded perennial crop systems",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Training","access to agricultural training","1= yes, 0= otherwise","none","Logistic regression tests","logit","coefficient value","4.2699999999999996",4.27,"standard error","2.0699999999999998",2.07,"2.06",2.06,"0.04",0.04,"nd","8",8,120,120,"Ethiopia","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to climate training","access to agricultural training","1= yes, 0= no","none","logistic regression","logit","coefficient value","-3.2589999999999999",-3.259,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access to climate training","access to agricultural training","1= yes, 0= no","none","logistic regression","logit","coefficient value","-0.115",-0.115,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Training","agricultural training frequency","number of trainings","none","Probit double-hurdle model","probit","coefficient value","0.217",0.217,"robust standard error","0.23300000000000001",0.233,"nd",NA,"nd",NA,"nd","24",24,313,313,"Ethiopia","number of trainings","access to agricultural training","access to agricultural training (number of trainings)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Training","agricultural training frequency","number of trainings","none","Truncated double-hurdle model","truncated","coefficient value","0.104",0.104,"robust standard error","0.113",0.113,"nd",NA,"nd",NA,"nd","24",24,313,313,"Ethiopia","number of trainings","access to agricultural training","access to agricultural training (number of trainings)"
"312",1,"Rubber","agroforestry","exotic trees",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Agricultural training","access to agricultural training","1= yes, 0= no","none","Probit model with heteroscedasticity-robust standard errors","probit","coefficient value","-9.4399999999999998E-2",-0.0944,"standard error","5.7000000000000002E-2",0.057,"nd",NA,"0.1",0.1,"nd","19",19,3344,3344,"Thailand","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"312",2,"Rubber","agroforestry","exotic trees",NA,NA,"species richness","partial correlation","Agricultural training","access to agricultural training","1= yes, 0= no","none","Poisson regression model","other","coefficient value","-8.7499999999999994E-2",-0.0875,"standard error","7.8799999999999995E-2",0.0788,"nd",NA,"nd",NA,"nd","19",19,3344,3344,"Thailand","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
"312",3,"Rubber","agroforestry","exotic trees",NA,NA,"species richness","partial correlation","Agricultural training","access to agricultural training","1= yes, 0= no","none","Negative binomial regression","other","coefficient value","-6.0299999999999999E-2",-0.0603,"standard error","7.7100000000000002E-2",0.0771,"nd",NA,"nd",NA,"nd","19",19,3344,3344,"Thailand","1= yes, 0= no","access to agricultural training","access to agricultural training (1= yes, 0= no)"
