"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh education","1= Lower primary (grades 1-4), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","2.1099999999999999E-3",0.00211,"robust standard error","2.7E-2",0.027,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Lower primary (grades 1-4), 0= otherwise","hh education","hh education (1= Lower primary (grades 1-4), 0= otherwise)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh education","1= Upper primary (grades 5-7), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-3.4299999999999997E-2",-0.0343,"robust standard error","0.03",0.03,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Upper primary (grades 5-7), 0= otherwise","hh education","hh education (1= Upper primary (grades 5-7), 0= otherwise)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh education","1= Secondary (grades 8-12), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","3.3300000000000003E-2",0.0333,"robust standard error","3.7999999999999999E-2",0.038,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Secondary (grades 8-12), 0= otherwise","hh education","hh education (1= Secondary (grades 8-12), 0= otherwise)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh education","1= Post-secondary, 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","0.12",0.12,"robust standard error","7.8E-2",0.078,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Post-secondary, 0= otherwise","hh education","hh education (1= Post-secondary, 0= otherwise)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","hh education","1= Lower primary (grades 1-4), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-9.06E-2",-0.0906,"robust standard error","4.3999999999999997E-2",0.044,"nd",NA,"0.05",0.05,"nd","31",31,7934,7934,"Zambia","1= Lower primary (grades 1-4), 0= otherwise","hh education","hh education (1= Lower primary (grades 1-4), 0= otherwise)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","hh education","1= Upper primary (grades 5-7), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-5.79E-2",-0.0579,"robust standard error","4.9000000000000002E-2",0.049,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Upper primary (grades 5-7), 0= otherwise","hh education","hh education (1= Upper primary (grades 5-7), 0= otherwise)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","hh education","1= Secondary (grades 8-12), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-0.107",-0.107,"robust standard error","7.5999999999999998E-2",0.076,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Secondary (grades 8-12), 0= otherwise","hh education","hh education (1= Secondary (grades 8-12), 0= otherwise)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","hh education","1= Post-secondary, 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-0.157",-0.157,"robust standard error","0.2",0.2,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Post-secondary, 0= otherwise","hh education","hh education (1= Post-secondary, 0= otherwise)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","hh education","1= Lower primary (grades 1-4), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-6.6600000000000001E-3",-0.00666,"robust standard error","1.4E-2",0.014,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Lower primary (grades 1-4), 0= otherwise","hh education","hh education (1= Lower primary (grades 1-4), 0= otherwise)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","hh education","1= Upper primary (grades 5-7), 0= otherwise","linear household ﬁxed effects (FE) model","other","coefficient value","-1.78E-2",-0.0178,"robust standard error","1.4E-2",0.014,"nd",NA,"nd",NA,"nd","31",31,7934,7934,"Zambia","1= Upper primary (grades 5-7), 0= otherwise","hh education","hh education (1= Upper primary (grades 5-7), 0= otherwise)"
